,Unnamed: 0,Song,Artist,lyrics,Lyrics
10,10.0,La Malquerida,Kany García,"Yo solo quería la verdad y tú con tus mentiras
Me abriste los ojos, también las heridas
Y aunque te tenía de primera en mi plan de vida
Dejándolo todo por tu compañía

¿Pa' que voy a suplicarte y a querer volver?
Si así de lejitos nos llevamos bien
Y en cualquier momento la vuelves a hacer

Ay, qué dolor
Cuanto me han herido
Yo que lo di todo, y cuanto me han jodido
Por eso sé que tú hoy juegas con mi mente
Por eso sé que tú no eras diferente
Ay, yo tengo carita de inocente
Pero tengo espuelas, tengo afilado los dientes

Ya me contaron que te vieron con alguien
Y aunque quise matarte, que te vaya bien
A mí me gusta respirar buenos aires
Y si vuelvo a buscarte, sería perder

¿Pa' que voy a suplicarte y a querer volver?
Si así de lejitos nos llevamos bien
Y en cualquier momento la vuelves a hacer

Ay, qué dolor
Cuanto me han herido
Yo que lo di todo, y cuanto me han jodido
Por eso sé que tú hoy juegas con mi mente
Por eso sé que tú no eras diferente
Ay, yo tengo carita de inocente
Pero tengo espuelas, tengo afilado los dientes

Me dicen la malquerida, pero bueno
Me dejaste alguna herida, y eso es bueno
Me emborracho todos los días, ay, qué bueno
Y celebro tu partida de nuevo
Me dicen la malquerida, pero bueno
Me dejaste alguna herida, y eso es bueno
Me emborracho todos los días, ay, qué bueno
Y celebro tu partida de nuevo

Ay, qué dolor
Cuanto me han herido
Yo que lo di todo, y cuanto me han jodido
Por eso sé que tú hoy juegas con mi mente
Por eso sé que tú no eras diferente
Ay, yo tengo carita de inocente
Pero tengo espuelas, tengo afilado los dientes

Me dicen la malquerida, pero bueno
Me dejaste alguna herida, y eso es bueno
Me emborracho todos los días, ay, qué bueno
Y celebro tu partida de nuevo (La malquerida)
Me dicen la malquerida, pero bueno
Me dejaste alguna herida, y eso es bueno
Me emborracho todos los días, ay, qué bueno
Y celebro tu partida de nuevo",
11,11.0,Historia Repetida,Kany García,"Tú con esas ganas que tenías de salir corriendo
Y yo que ya me olía que esto estaba cerca del final
Lo que tanto construimos ya se lo ha llevado el viento
Justo lo que más le tuve miedo me ha vuelto a pasar-ar

Y ya me lo decía yo, que te volverías un mal necesario
Ya me lo advertía yo, que me dolería dormir en tus labios
Ya me repetía yo, y fui justamente haciendo lo contrario
Ni tú, ni yo, ni tú, ni yo

Somos los culpablеs de lo que ha pasado
Tú querías quеrerme y yo ya te quería
Yo que te tenía mal acostumbrado a que tus migajas me satisfacían
Tú buscando fuerzas pa' quererme, pero tan cerca de la salida
Esto lo ha vivido tanta gente, somos una historia repetida

Ya me lo decía yo, que te volverías un mal necesario
Ya me lo advertía yo, que me dolería dormir en tus labios
Ya me repetía yo, y fui justamente haciendo lo contrario
Ni tú, ni yo, ni tú, ni yo

Si ya me lo decía yo, que te volverías un mal necesario
Ya me lo advertía yo, que me dolería dormir en tus labios
Ya me repetía yo, y fui justamente haciendo lo contrario
Ni tú, ni yo, ni tú, ni yo

Ni tú, ni yo, ni tú, ni yo",
12,12.0,En Esta Boca,Kany García,"Ella, la que te enreda en sus pisadas
Con su sonrisa en primavera
Y sus ojos que la delataban
Yo me acerqué y me pegué porque sentía a la vez
Que su mirada me hablaba lo que no me decía
Ella esperó a que apaguen las luces, y yo quería encenderle la vida

En esta boca te volvías tan loca
Tu mirada de fuego me quitaba la ropa
Me decía' ""te quiero""
Ay, no te vaya' ahora, no
Si en esta boca te volvías tan loca
Se achicaban tus miedo', te olvidaba' de cosa'
Que nos llenan de frenos (De frenos)
Ay, no te vayas ahora (Yeah)

Te di de la que enchula y no me saca' de tu mente
Cuando somo' tú y yo en contra e' la corriente
Dice que no puede ni decir lo que siente
'Toy pa' robarte delincuente, ey, y lo malo es que te gusta
No sea' injusta, ojitos que delatan, no me asustan
Es a mí a la que busca', uff
Ojalá te me luzca', uff, sí
Si yo siento lo que siente', no te cohíba'
Si yo sé

Que en esta boca te volvía' tan loca
Tu mirada de fuego me quemaba la ropa
Me decías ""te quiero"" (Te quiero)
Ay, no te vaya' ahora (No te vaya' ahora)
Si en esta boca se volvía tan loca
Se achicaban sus miedo', se olvidaba de cosa'
Que nos llenan de frenos
Ay, no te vayas ahora, no

Yo no te espero, pero, déjate el cuento (Ah-ah-ah)
Te pasa' merodeando donde frecuento
Yo sé que tú tiene' un jevo, pero yo te lo hago má' bueno
Yo no te espero, pero, déjate el cuento
Te pasa' merodeando donde frecuento
Yo sé que tú tienes un jevo, pero conmigo va' de nuevo

Si en esta boca te volvía' tan loca
Tu mirada de fuego me quitaba la ropa
Me decía' ""te quiero"" (Te quiero)
Ay, no te vaya' ahora, no (No te vaya')
Si en esta boca te volvía' tan loca
Se achicaban tus miedo', te olvidaba' de cosa'
Que nos llenan de frenos
Ay, no te vayas ahora",
13,13.0,Amar y Partir,Zoe Gotusso,"A veces quiero que todo salga bien
Pero si pido más, me queda menos
Debo soltar la tensión que hay en mí
Alimentarme de tu amor sincero

Y para mi sería hermoso
Que tu fueras para mí
Y para ti sería un regalo
Que elegiste para abrir

Ayer te vi y te salía el sol
Si estoy con vos de nada tengo miedo
No piso el freno si me acompañas
Yo no me voy, pero yo no me quedo

Y para mi sería hermoso
Que tu fueras para mí
Y para ti sería un regalo
Que elegiste para abrir

Y sin embargo no me arrepentí
Porque hay algo que aprendí
Amar, partir, vivir así
Me voy pero siempre vuelvo

Y para mi sería hermoso
Que tu fueras para mí
Y para ti sería un regalo
Que elegiste para abrir
Y para mi sería hermoso
Que tu fueras para mí
Y para ti sería un regalo
Que elegiste para abrir",
14,14.0,Voy a Olvidarme de Mí (feat. Bomba Estéreo),Zoe Gotusso,"Que no es lo mismo verse en el espejo, que te siento lejos
Que muero por dentro y escucho en silencio
Que la lluvia dice que ya te perdí

Que no me importa si la casa es grande
Si me voy de viaje
Que el negocio es bueno
Si ese era mi sueño
Si el carro que tengo corre a más de mil

Que me arrepiento de ser aguafiestas
Todos estos años que viví contigo
Que me perdones si no me di cuenta
Que fui tu dueño y quiero ser tu amiga

Voy a peinarme y a tender la cama
Voy a ponerme mi mejor vestido
Voy a servir tu puesto allí en la mesa
Para sentir que vuelvo a estar contigo
Voy a pedirle al tiempo que no pase
Voy a encender la luz de mis promesas
Voy a sentarme al frente de la calle
Para esperar a ver si tú regresas

Que he sido un tonta por dejarte sola
Por buscar mil cosas
Por mi gran invento si al final del cuento
Yo ya nada tengo si no estás aquí

Que no me importa si la casa es grande
Si me voy de viaje
Que el negocio es bueno
Si ese era mi sueño
Si el carro que tengo corre a más de mil

Que me arrepiento de ser aguafiestas
Todos estos años que viví contigo
Que me perdones si no me di cuenta
Que fui tu dueño y quiero ser tu amiga

Voy a peinarme y a tender la cama
Voy a ponerme mi mejor vestido
Voy a servir tu puesto allí en la mesa
Para sentir que vuelvo a estar contigo
Voy a pedirle al tiempo que no pase
Voy a encender la luz de mis promesas
Voy a sentarme en frente de la calle
Para esperar a ver si tú regresas

Voy a olvidarme de mí
Yo puedo hacerte feliz
Nos quedaremos aquí
Voy a olvidarme de mí",
15,15.0,O My Heart,Mother Mother,"Oh my heart, it's a fish out of water
Oh my heart, it's a fish on the rocks and it bakes in the bad sun
Oh my heart, it's a rock in the gutter
Oh my heart, it's a rock and great boulder and stuck in the gutter

And I throw my heart back to the ocean
But it don't go far, it come back floating
And I watch it wash it up with the dead fish
But it ain't quite dead, it just is like this
Oh my heart, it's a house in tornado
Oh my heart, it's a house in the sky in the eye of tornado
Oh my heart, it's a roof in El Niño
Oh my heart, it's a roof made of straw in the jaw of El Niño

And I pour my heart a new foundation
But it don't set hard, it just stays shaking
And I scratch my name, I scratch my name in
But it don't set hard, it gets mixed back in

Bum bum bum, bum bum bum, bum bum bum, bum
Bum bum bum, bum bum bum, bum bum bum
Bum bum bum, bum bum bum, bum bum buhhh...

Oh my heart, it's a fish out of water
Oh my heart, it's a rock in the gutter
Oh my heart, it's the black in a rainbow
Oh my heart, it's so damn so cold, so damn cold

And I throw my heart into the fire
'Cause I want to set my heart on fire
And I watch it try, befriending embers
But the ice don't melt in mid-December

Oh my heart, it's a fish out of water
Oh my heart, it's a fish on the rocks and it bakes in the bad sun",
16,16.0,Ambidextrous,Rosa Cecilia,"Verse 1:
Do you know who you are?
Do you know the lives of brothers?
I am in the right mind
To snitch you to your mother
Do you empathise beyond the realms of yourself?
Do you try to challenge
Elements of convention
I doubt it
I doubt it
By the look of your Twitter page
You don’t think I have rights
You don’t think I should talk
You don’t believe a female
Should be pro-choice at all
You believe my friends
Of black and brown descent
Should bow and kiss the feet of holy colonialism and...
I doubt that
(we can be friends)… I doubt it
Chorus:
All these disparities
Left and right can’t find no unity
All these disparities
And I don’t want to be ambidextrous
All these disparities
Chia seeds and collard greens
All these disparities
And I don’t want to be ambidextrous

Verse 2:
Should I file a complaint
Who would even listen ? I’m a lying little temptress
Extremist feminism I would like to provide an extensive list of writers
From Morrison to Davis
Does that could entice ya?
I doubt it
I doubt it
Chorus:
All these disparities
Left and right can’t find no unity
All these disparities
And I don’t want to be ambidextrous
All these disparities
Chia seeds and collard greens
All these disparities
And I don’t want to be ambidextrous
Bridge:
Is it I against you?
Is it you against me?
Am I shutting out Potential harmony?
What do I have to lose?
There’s more than meets the eye
Conflict is cutting. Let’s unify...
Chorus:
All these disparities
Left and right can’t find no unity
All these disparities
And I don’t want to be ambidextrous
All these disparities
Chia seeds and collard greens
All these disparities
And I don’t want to be ambidextrous",
17,17.0,Faces,Crumb,"Words aren't easy, they'll come and they'll go
Feelings alive, but they'll never show
All of my heroes are people I know
Never see faces that look like my own

I wanna take it easy, retreat in my soul
I wanna feel your body when my hands are cold
Got me addicted to something you have
Let it grow inside me, it makes me so mad

It makes me so mad
It makes me so mad
It makes me so mad
It makes me so mad",
18,18.0,las consecuencias,Jaze,"Seré sincero, no estoy tranquilo
Ya abrí los ojos, no estoy dormido
Déjame solo que no es contigo, esto es conmigo y está metido
Allí en el fondo sigue escondido, yeah
No malentiendas mis intenciones
Sé que no entenderás las razones
Ya lo intenté con tantas canciones y explicaciones
No sé cómo hacer que esto funcione

Te lo digo por experiencia (Uh-uh-uh), no será suficiente la paciencia
Pa' quedarte al lado (Uh-uh-uh)
Y te lo digo como advertencia, pa' que no sufras las consecuencias
De estar al lado

Oh-oh, oh-oh, oh-oh
De estar al lado
Oh-oh, oh-oh

Ya sé que está desordenado el cuarto
Ya sé que me olvidé que era tu santo
Ya sé que me dijiste que no era para tanto
La pregunta es: ""¿Hasta cuándo?""
Y no sé qué hacer, quiero mantener el contacto
Tal vez si me das unos meses cambio
Porque de verdad quiero, sin embargo
Estoy atado y programado a decepcionarte una y otra vez
Ya ni siquiera sé si es por amor (Ya ni siquiera sé)
Que aún no te vas
No solamente esto lo pienso yo (Ya ni siquiera sé)
Me he quedado atrás, muy atrás

Te lo digo por experiencia, no será suficiente la paciencia
Pa' quedarte al lado, mm
Y te lo digo como advertencia, pa' que no sufras las consecuencias
De estar al lado
Te lo digo por experiencia (Uh-uh-uh), no será suficiente la paciencia
Pa' quedarte al lado (Uh-uh-uh)
Y te lo digo como advertencia, pa' que no sufras las consecuencias
De estar al lado

Oh-oh, oh-oh, oh-oh
De estar al lado
Oh-oh, oh-oh, oh-oh
De estar al lado
De estar al lado
De estar al lado
Oh-oh, oh-oh, oh-oh",
19,19.0,DENIAL IS A RIVER,Doechii,"Hey, I thought it was all over
What's up, Doechii?
Hey, girl
You know it's been a lil' minute since you and I have had a chat
Has it really?
Probably since, like, your last EP, 'Oh the Places You'll Go'
Oh wow, it's been a minute, yeah (Yeah)
I've been gettin' some calls
Oh?
People are a little bit worried about you
Not worried, okay
And I know that I was kinda that outlet for you, so
You were
Why don't you just tell me what's been goin' on?
Okay

Remember old dude from 2019?
Nice, clean, nigga did me dirtier than laundry (Than laundry)
Took a scroll through his IG
Just to get a DM from his wifey (What the fuck?)
I was so confused, what should Doechii do?
She didn't know about me and I didn't know 'bout Sue
I open up the messages and had to hit the zoom
Turns out the girl was really a dude? (Goddamn)
Nigga think he slicked back 'til I slipped back
Got my lick back, turned a nigga to a knick-knack (To a knick-knack)
I moved on, dropped a couple of songs
And then I went and got signed, now it's 2021

Okay, I just feel like
This is the perfect opportunity for us to just take a second and kind of unpack what's happened to you
You know, this guy cheated on you, and—
Mm, nah (Ow), fuck it

""Platinum record"" this, ""viral record"" that (That)
I'm makin' so much money, I'm all over the net
I'm movin' so fast, no time to process
And no, I'm not in a gang, but I'm always on set (Yeah)
Wrist watch, drip drop, label want the TikToks
Now I'm makin' TikTok music, what thee fuck?
I need a cleanse, need a detox
But we ain't got time to stop, the charts need us (And they do)
Fast forward, me, 2023
I'm stackin' lots of cheese and makin' money
My grass is really green, and—

Honestly, I can't even fucking cap no more, this is a really dark time for me
I'm going through a lot
By ""a lot,"" you mean drugs?
Um, I wouldn't—
Drugs?
No, it's a—
No?
It's a natural plant
No, I'm not judging
I'm not an addict
I'm just saying
I don't think—
You wanna talk about it?
Uh

I mean, fuck, I like pills, I like drugs
I like gettin' money, I like strippers, I like to fuck
I like day-drinkin' and day parties and Hollywood
I like doin' Hollywood shit, snort it? Probably would
What can I say? The shit works, it feels good
And my self-worth's at an all-time low
And just when it couldn't get worse
My ex crashed my place and destroyed all I owned
Whoopsie, made a oopsie
One-hundred thousand dollar ""oops"" made me loopy
I ain't a killer, but don't push me
Don't wanna have to turn a nigga guts into soup beans

Woah! Woah, woah, woah, woah! (Rurr)
Okay, Doechii
We don't wanna revert back into our old ways (Sorry, okay)
So, we're gonna try a breathing exercise, okay? (A'ight, word)
When I breathe, you breathe (Okay, okay)
Alright? Let's go
Uh-uh-uh, uh-uh-ah
Uh, uh, uh, ah
Uh, uh, uh, uh, ah
Uh, uh, uh, uh, ah, woosah",
20,20.0,Get it Got it,Adi Oasis,"Aah, ah, ah, ah, aah
Aah, ah, ah, ah, aah

So many times I let it slide
Never made up my mind
Searching but I couldn't find
Something about something new
Cold, frozen, icy blue
But if you heat it up a little bit, ooh

Melt on me, ooh
Melt on me, ooh

I know you came here for something
I don't like making assumptions
But I can tell
This ain't a time to say nothing
Speak on it now while you can
Cause closed lips don't get fed
Aah, ah, ah, ah, aah
Aah, ah, ah, ah, aah

So many days stuck in my ways
Just trynna to get out this maze
I shoulda been riding the waves
Frozen in time, colder than ice
But if you heat it up a little bit...

Melt on mе, ooh
Melt on me, ooh
Melt on mе, ooh
Melt on me, ooh

I know you came here for something
I don't like making assumptions
But I can tell
This ain't a time to say nothing
Speak on it now while you can
Cause closed lips don't get fed

I know you came here for something
I don't like making assumptions
But I can tell
This ain't a time to say nothing
Speak on it now while you can
Cause closed lips don't get fed

(What you came here for)
(What you came here for)
I hope you get it, got it
(What you came here for)
I hope you get it, got it
(What you came here for)
I hope you get it, got it
(What you came here for)
I hope you get it, got it
(What you came here for)
I hope you get it, got it
(What you came here for)
I hope you get it, got it, got it, baby
(What you came here for)
I hope you get it, got it, yeah
(What you came here for)
I hope you get it, got it, got it, got it
(What you came here for)
Got it
Got it
Got it, baby
(What you came here for)
Got it
(What you came here for)",
21,21.0,Marigold - Feat. J. Hoard,Adi Oasis,none,
22,22.0,The Water,Adi Oasis,none,
