,Song,Artist,lyrics
23,Naked - Feat. Leven Kali,Adi Oasis,"You and me now (And me now)
Maybe we should head out to the beach now (Hey)
Got some sand up on your feet now (Feet now)
Tell me 'bout your world and what you dream 'bout (Baby, what you dream 'bout)
'Cause, ooh, that's that look in your eyes (Look in your eyes)
Just how I like (Just how I like)
Sun setting down, let's go inside

Dancing in the moonlight, baby
It's just you and I, ain't no reason to be shy
And that fit you got on, going crazy
But if I'm being honest

I wanna see you naked (I wanna see you naked)
I wanna meet the real you, tell me how you feel, boo
I wanna see you naked (I wanna see you naked)
Maybe we can have a drink, too, bring that champagne through
I wanna see you naked (Ooh, ooh-yeah, yеah-yeah)
Skin to skin until the sunrise all night

Ooh, if you show mе what you hide on the outside (Outside)
I'll make you feel at home, let you inside (Make you feel at home inside)
It's like you see right through me, baby (Hey)
Like you already knew me, baby (Ooh)
(Ah) I don't know where this is going, but it's goin' right, yeah

Dancing in the moonlight, baby
It's just you and I, ain't no reason to be shy
And that fit you got on, going crazy
I'm just being honest

I wanna see you naked (I wanna see you naked)
I wanna meet the real you, tell me how you feel, boo
I wanna see you naked (I wanna see you naked)
If you wanna have a drink, too, bring that champagne through
I wanna see you naked (Ooh, ooh-yeah, yeah-yeah)
Skin to skin until the sunrise, all night
I wanna see you naked (I wanna see you naked)
I wanna meet the real you, tell me how you feel, boo
I wanna see you naked (I wanna see you naked)
Oh, maybe have a drink, too, bring that champagne through, yeah
I wanna see you naked (Ooh, ooh-yeah, yeah-yeah)
Skin to skin until the sunrise, all night

My body, your body all night
Your skin to my skin 'til sunrise
My body, your body all night (All night)
Your skin to my skin 'til sunrise"
24,Adonis - Feat. KIRBY,Adi Oasis,"Hey
When I walk in the room you know they like to turn around and say, ""Miss Adi""
""Hey""
When I walk in the room and they see that ass they say, ""Mm, now say it in french, girl""
Talk to me

I don't want to question your decisions, babe
I don't mean to be in your business
All these conversations in your mind, that you're having
If you're asking for my opinion
What you got is so fly
Why you wasting all your time?
You know what to say to feel right
Lot of lows for just a few highs

Woke up in the morning feeling like a bad bitch
 feeling damaged
I can see you settle for the average
Tell 'em pack his bags and the bullshit, girl

Toxic love is just bad habit (tell him)
Waking up ain't lonely for a (bad bitch)
Toxic love is just bad habit (tell him)
If it ain't workin', don't work it, baby
I've been back and forth in my feelings
It's like a  callin' my mind, baby
I'm overthinking, thinking should be over
I'm feeling insecure
I just can't seem to close the door, baby
But what I got is so fly
Why am I wasting all my time?
I know the  don't feel right
Lot of lows for just a few highs

But I woke up in the morning feeling like a bad bitch
 feeling damaged
I hate to see me settle for the average
I should tell 'em pack his bags and the bullshit, girl

Toxic love is just bad habit (tell him)
Waking up ain't lonely for a (bad bitch)
Toxic love is just bad habit (tell him)
If it ain't workin', don't work it, baby

You know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch
Yeah, you know you a bad bitch"
25,Dumpalltheguns,Adi Oasis,none
26,My Sunrise,Ruti,"Draw a line across the sky
Straight into a cloud and out the other side
I wanna take you far away
Far enough so you forget the mess you made
Somewhere that you can tell me
What's been on your mind lately
Maybe a place that we both know
Three days and nights you'll find out
Those things you worry about
There out of your control

And we got time
So lay back unwind
And stay up with me and my sunrise
You could try to release your mind
And stay up with me and my sunrise

Too much concrete in the way
I just wanna run free in that open space
Brush the dust right off your bones
Don't watch it settle let's get up and go

'Cause we got time
So lay back unwind
And stay up with me and my sunrise
Baby try to release your mind
And stay up with me and my sunrise

Silver and Gold
Please let me hold
You here with me
Don't turn away
Sit down and stay
And you will see

We got time
So lay back unwind
And stay up with me and my sunrise
You could try to release your mind
And stay up with me and my sunrise
Stay up with me and my sunrise
Stay up with me and my sunrise"
27,Fragile Eyes,Raquel Martins,none
28,Gold Chains,Rosa Cecilia,none
29,Calling My Name,Freya Roy,none
30,Man On The Moon,R.E.M.,"Mott the Hoople and the Game of Life
Yeah, yeah, yeah, yeah
Andy Kaufman in the wrestling match
Yeah, yeah, yeah, yeah
Monopoly, Twenty-One, checkers and chess
Yeah, yeah, yeah, yeah
Mister Fred Blassie in a breakfast mess
Yeah, yeah, yeah, yeah
Let's play Twister, let's play Risk
Yeah, yeah, yeah, yeah
See you in heaven if you make the list
Yeah, yeah, yeah, yeah

Now, Andy, did you hear about this one?
Tell me, are you locked in the punch?
Andy, are you goofing on Elvis? Hey, baby
Are we losing touch?

If you believed they put a man on the moon
Man on the moon
If you believed there's nothing up his sleeve
Then nothing is cool

Moses went walking with the staff of wood
Yeah, yeah, yeah, yeah
Newton got beaned by the apple good
Yeah, yeah, yeah, yeah
Egypt was troubled by the horrible asp
Yeah, yeah, yeah, yeah
Mister Charles Darwin had the gall to ask
Yeah, yeah, yeah, yeah

Now, Andy, did you hear about this one?
Tell me, are you locked in the punch?
Hey, Andy, are you goofing on Elvis? Hey, baby
Are you having fun?

If you believed they put a man on the moon
Man on the moon
If you believed there's nothing up his sleeve
Then nothing is cool

Here's a little agit for the never-believer
Yeah, yeah, yeah, yeah
Here's a little ghost for the offering
Yeah, yeah, yeah, yeah
Here's a truck stop instead of Saint Peter's
Yeah, yeah, yeah, yeah
Mister Andy Kaufman's gone wrestling (wrestling bears)
Yeah, yeah, yeah, yeah

Now, Andy, did you hear about this one?
Tell me, are you locked in the punch?
Hey, Andy, are you goofing on Elvis? Hey, baby
Are we losing touch?

If you believed they put a man on the moon
Man on the moon
If you believed there's nothing up his sleeve
Then nothing is cool

If you believed they put a man on the moon
Man on the moon
If you believed there's nothing up his sleeve
Then nothing is cool
If you believed they put a man on the moon
Man on the moon
If you believed there's nothing up his sleeve
Then nothing is cool
If you believed they put a man on the moon
Man on the moon
If you believed there's nothing up his sleeve
Then nothing is cool"
31,Sabré Olvidar,Silvana Estrada,"Sabré olvidar
Porque el silencio no da opción cuando uno canta
Y este dolor se ha de esfumar en mi garganta
Sabré olvidar

Sabré olvidar
Aunque ahora cargue la desgracia entre mis dientes
Pues, sonreír es un remedio de valientes
Sabré olvidar

Y que te cante quien te quiera de verdad
Y que te llore aquel que no te sepa amar
Y que te robe el corazón sin avisar
Para que entiendas de milagros y del mar
Voy a callar un par de días
Alejarme de tu nombre
Abandonar mi artillería
Abrazarme al horizonte y a olvidar, sabré olvidar
Uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh, uh-uh
Uh-uh-uh, uh-uh-uh-uh-uh, uh
Ah y ah, ay-ah

Sabré bailar
Sabré tomar entre mis manos la alegría
Y devolverla, poro a poro, hasta mi vida
Sabré olvidar

Sabré gritar
Pintar colores en el techo con mi boca
Dejar de lado tu promesa que me estorba
Sabré olvidar

Y que te cante quien te quiera de verdad
Y que te llore aquel que no te sepa amar
Y que te robe el corazón sin avisar
Para que entiendas de milagros y del mar
Voy a callar un par de días
Alejarme de tu nombre
Abandonar mi artillería
Abrazarme al horizonte y a olvidar, sabré olvidar
Uh-uh-uh-uh-uh
Uh-uh-uh-uh-uh, uh-uh
Uh-uh-uh, uh-uh-uh-uh-uh, uh
Ah y ah, ay-ah

Y que te cante quien te quiera de verdad
Y que te llore aquel que no te sepa amar
Y que te robe el corazón sin avisar
Para que entiendas de milagros y del mar
Voy a callar un par de días
Alejarme de tu nombre
Abandonar mi artillería
Abrazarme al horizonte y a olvidar, sabré olvidar"
32,La Enfermedad Del Siglo,Silvana Estrada,none
33,Girl Feels Good,FKA twigs,"I fear the man who finds himself lost
In tales of war, delusions of more
Beautiful boys, I wish you knew how precious you are
Your mother's, sister's, lover's heart is where there's healing

When a girl feels good, it makes the world go 'round
When the night feels young, you know she feels pretty
A girl feels good, and the world goes 'round
Turn your love up loud to keep the devil down

When a girl feels good, you'll know
When a girl feels good, you'll know
When a girl feels good, she's gonna keep you around
When a girl feels good, you'll know (Ooh-ooh, ooh-ooh; Da-da-da)

My city guy
Your boots on the gas of life
Hurry up, baby, take your time
Don't wanna force it, want you to touch it
My sweet demisе
A man that doesn't know his mind
It's okay, baby, take your time
Wе're gonna make it, wanna enjoy it

When a girl feels good, it makes the world go 'round
When the night feels young, you know she feels pretty
A girl feels good, and the world goes 'round
Turn your love up loud to keep the devil down

When a girl feels good, you'll know
When a girl feels good, you'll know
When a girl feels good, the honeybees to the flowers
When a girl feels good, you'll know (Ooh-ooh, ooh-ooh)

(When a girl feels good, it makes the world go 'round)
(When the night feels young, you know she feels pretty)
(A girl feels good, and the world goes 'round)
(Turn your love up loud to keep the devil down)
(When a girl feels good, you'll know)
(When a girl feels good, you'll know)
(When a girl feels good, she's gonna keep you around)
(When a girl feels good, you'll know, ah-ah, ah-ah)
(Ah-ah, ah-ah, ah-ah, ah-ah)"
34,Boomerang,Yebba,"Oh!
Ooh-ooh-ooh!

If I shoot him in the stomach
Then he’s hurting on my dime
And if I shoot him in the head, then he’s dead and he’s livin’ on my mind
My reflection in the mirror
Her perfection in his eyes
I’m a danger to myself
I run from twelve
And take my rage across the county line, oh

But I won’t let this go
Not my tomorrow
Don’t forget your pride, it’s laying in her bed of sorrow

What you done to me
I swear to you it’s gonna come back like a boomerang
Wooooo
Wooooo
Woooooooooo

You knew my daddy didn’t like you
From the moment you two met
Hе knew too well, you would drag me through Hеll
And never come back for the baby we’d regret
Oh

But I won’t let this go
Not my tomorrow
Don’t forget your pride
It’s laying in her bed of sorrow

What you, what you done to me
I swear to you it’s gonna come back like a boomerang
Woooooo
Wooooo
Woooooooooo
What you done to me
I swear to you it’s gonna come back like a boomerang
And knock you to your knees
I swear to you it’s gonna come back like a boomerang
Woooooo
Woooo
Wooooo"
35,Underneath My Feet,Lady Wray,"I know you don't like me, I knew we would meet
It won't be long, this short little meet-and-greet
You're cold and empty between you and I
Knock me down? They say you would try

Go 'head, get down, yeah (Underneath my feet)
You know where to lie (Underneath my feet)
Go 'head, get down (Underneath my feet)
Oh yeah (Underneath my feet)

I'm a voodoo woman, put a spell on you
Better watch what you say now, better watch what you do
I got my eye on the devil in you
And it's showing me the damage you do
Now it's your turn to suffer and weep
I won't be satisfied 'til you're under my feet

Go 'head, get down, yeah (Underneath my feet)
Oh (Underneath my feet)
You know just where to lie, love (Underneath my feet)
You know where to lie (Underneath my feet)

Hey, oh yeah
Uh
Whoa
Underneath, underneath my feet, yeah

Whoo (Underneath my feet)
Whoo (Underneath my feet)
Whoo (Underneath my feet)
Whoo (Underneath my feet)
(Underneath my feet)
You know where to lie (Underneath my feet)
They said you would try (Underneath my feet)
You know where to lie (Underneath my feet)
You know where to lie"
36,Make Me Over,Lady Wray,"I spent all my money
I'm home looking bummy, yeah
Will you help me, honey?
I wanna go out with some friends
I need some ends
I’ve always been independent
But right now, I need you to do this for me

Just make me over
Make me over
Make me over

It's been fifty twenty, yeah
So glad you're still with me
I don’t want to be alone
No dollars in the bank
Hold my hand or I'll sink
When I get my paycheck
I promise to do something nice
But for now, oh

Just make me over
Make me over
Make me over

I need a little bit of spending money
I trust in you

Make me over (Make me over)
Make me over (Make me over)
Make me over
Yeah, yeah, yeah"
37,Do It Again,Lady Wray,"If you wanna pack your bags, go on ahead
Ain't no use in being friends if you can't hear what I'm saying to you
One of us needs to say it
Stop dragging it in the dirt now
One of us gonna get hurt now
So hard when you know it
The love has left the building
And we can't talk about it

We rolled the dice
And we lost in the end
Though our luck has run out, yeah
I would do it again

You know all the good and bad things that I've done, yeah
You're the best I've ever had
You pull me through
Baby, I rely on you
The two of us, the two of us need to say it
Stop dragging it in the dirt now
One of us gonna get hurt now
So hard when you know it
The love has left the building
And we can't talk about it

We rolled the dice
And we lost in the end
Though our luck has run out, yeah
I would do it again

Before I go, oh
Ooh, oh
Yeah, and again and again now
And again and again now

We rolled the dice, yeah
And we lost in the end
Though our luck has run out
I would do it again

Baby, I would do it again
Do it again
Oh, do it again
Oh, and again and again now
And again and again now
Ooh, do it again"
38,Mr. Carisma,Ximena Sariñana,"Va
¡Hey!

No, no me fio, no me fio ​de lo que dicen los demás de ti
Lo vivo en carne propia y si me gusta yo me quedo aquí
Hay dos maneras de mirar una moneda, y qué me importa a mí
Tus colores y bemoles no me asustan, yo te elijo a ti

Tú eres malo, malísimo, malo, el peor de la fila
Cuando me hablas así, al oído, así, hasta tu fama se me olvida
Eres malo, pero encantador, eres Mr. Carisma
Lo que otras tienen prohibido, pa' mí está servido, y que sе mueran de la envidia

(Mе hace daño)

No, no me fio, no me fio ​de lo que dicen los demás de ti
Lo vivo en carne propia y si me gusta yo me quedo aquí
Siempre hay un roto para un descosido, te lo firmo yo
Que de todo lo había, preferí el que no valía, y ya bailó

Tú eres malo, malísimo, malo, el peor de la fila
Cuando me hablas así, al oído, así, hasta tu fama se me olvida
Eres malo, pero encantador, eres Mr. Carisma
Lo que otras tienen prohibido, pa' mí está servido, y que se mueran de la envidia

Lo que otras tienen prohibido, pa' mí está servido, y que se mueran de la envidia


(Malo, malo, malísimo) Yo siempre caigo en la misma
(Malo, malo, malísimo) Me gana Mr. Carisma
(Malo, malo, malísimo) Malo, malo, malísimo, no hay nadie que se resista
(Malo, malo, malísimo) Malo, malo, malísimo, a su carisma, a su carisma

Tú eres malo, malísimo, malo, una causa perdida
Cuando me hablas así, al oído, así, hasta tu fama se me olvida
Tú eres malo, pero encantador, eres Mr. Carisma
Lo que otras tienen prohibido, pa' mí está servido, y que se mueran de la envidia

Lo que otras tienen prohibido, pa' mí está servido, y que se mueran de la envidia
Lo que otras tienen prohibido, pa' mí está servido, y que se mueran de la envidia"
39,Pretty Girls Walk,Big Boss Vette,"No matter what the fuck these hoes talkin' 'bout
Just know you a bad bitch
Every motherfuckin' time that you wake up
And you look in that motherfuckin' mirror

All the pretty girls walk like
This, this, this, this
This, pretty girls walk like
This, this, this, this
All the pretty girls walk like

Big Boss Vette (Yeah), pull up in a Vette (Skrrt)
Flooded out my wrist with some ice around my neck (Water)
Shittin' on my ex (Fuck him), on to the next (On God)
He know this pussy good 'cause he always come back (Ah)
I like diamonds, shinin', fly me to an island (Whew)
If I say I want it, then you know he gon' buy it (Money)
Foreign, private, designer, stylist (Ooh)
I'll throw a tantrum, now a bitch'll get childish (Wah-wah)
Go dumb on the dick, know he lovin' the moves (On God)
If I'm fuckin' with him, he ain't fuckin' with you (At all)
Made him blow a bag, spent it all on shoes (Yeah)

'Cause all the pretty girls walk like
This, this, this, this
This, pretty girls walk like
This, this, this, this
All the pretty girls walk like
This (Like), this (Like), this (Like), this (Like)
This (Like), pretty girls walk like
This (Like), this (Like), this (Like), this (Like)
All the pretty girls walk like—

Walk into this bitch like I got money then (I do)
I came in with some ballers, I ain't come with them (At all)
If I ain't got no section, I ain't comin' in (The fuck?)
Bottles after bottles, tell 'em spin it then (Where the bottles at?)
I got hittas on call, yeah, I go hard (Yeah)
Nails too long to be fightin' these broads (The fuck?)
Pussy stay clean (Ooh), a nigga gon' fiend (Come here)
A whole lotta power in these YSL jeans (Pussy)
If I let you hit it, better hit it from the back (Bend that thang over)
Wanna take me out, nigga, take me to the bank (Money)
Balenci's on my feet 'cause it's wetter than a sink (Yeah)

'Cause all the pretty girls walk like
This, this, this, this
This, pretty girls walk like
This, this, this, this
All the pretty girls walk like
This (Like), this (Like), this (Like), this (Like)
This (Like), pretty girls walk like
This (Like), this (Like), this (Like), this (Like)
All the pretty girls walk like—"
40,"Así Fue - En Vivo Desde Bellas Artes, México/ 2013",Juan Gabriel,"Perdona si te hago llorar
Perdona si te hago sufrir
Pero es que no esta en mis manos
Pero es que no esta en mis manos
Me he enamorado, me he enamorado
Me enamore
Perdona si te causo dolor
Perdona si te digo adios
Como decirle que te amo
Como decirle que te amo
Si me ha preguntado
Yo le dije que no
Yo le dije que no
Soy honesto con ella y contigo
A ella la quiero y a ti te he olvidado
Si tu quieres seremos amigos
Yo te ayudo a olvidar el pasado
No te aferres, ya no te aferres
A un imposible, ya no te hagas
Ni me hagas mas dao
Ya noooo
Tu bien sabes que no fue mi culpa
Tu te fuiste sin decirme nada
Y apesar que llore como nunca
Ya no seguias de mi enamorada
Luego te fuiste y que regresabas
No me dijiste y si mas nada
Por que? no se
Pero fue asi
Asi fue
Te brinde la mejor de las suertes
Yo me propuse no hablarte, no verte
Y hoy que has vuelto
Ya de eso no hay nada
Ya no debo, no puedo quererte
Ya no te amo!, me he enamorado
De un ser divino, de un buen amor
Que me enseo, a olvidar
Y a perdonar
Soy honesto con ella y contigo
A ella la quiero, a ti he olvidado
Pero si tu quieres seremos amigos
Yo te ayudo a olvidar el pasado
No te aferres, ya no te aferres
A un imposible, ya no te hagas
Ni me hagas mas dao
Ya nooo!!! no no no no no"
41,LA COMBI VERSACE,ROSALÍA,"Juntas por la noche
Puestas pa'l derroche
Tu pelo azabache
La combi Versace
Juntas por la noche
Puestas pa'l derroche
Tu pelo azabache
La combi Versace

¿Qué fue, qué fue, qué fue?
Vestida con colabo (Margiela colabo)
Medusa arriba y abajo (Carla Bruni, woah, woah)
Donatella frenzy (Kilos, kilos de tela)
Soltando los Benjis (Cheques, cheques)
OG party con la Fania (Jerry Masucci)
Jangueando con salseros (Tito, Willie)
Bendicen toda' mis canciones
Para que tú te enamores

Juntas por la nochе
Puestas pa'l derroche
Tu pеlo azabache
La combi Versace
Juntas por la noche
Puestas pa'l derroche
Tu pelo azabache
La combi Versace

(¿Cómo es que fue?)
ROSI season coming (Expensiva)
Uzi y Albinoni
FaceTime con Milano (Tim Cook)
Dios bendiga a Gianni (Flores para Gianni)
Más fría que tu baby mama
Nos fuimos 7:30
Llego a la MET en pony
Pa' que tú te enamores

Juntos por la noche
Puestas pa'l derroche
Tu pelo azabache
La combi Versace
Juntos por la noche
Puestos pa'l derroche
Tu pelo azabache
La combi Versace (Eh, Toki, Toki, Toki)

Estilazo Versace saliendo del callejón
Desfilamos Dior custom en el colmadón
Con la tanga Gucci en una cola de motor
Me llevo to' el mall monta'o en un camión
Combino el rojo con el rosa, vestidas de blanco
Me visto de novia pero no soy tu esposa
Las tennis Valentino, y bizcocho de Moschino
Gargantilla de zafiro con diamante azul marino
Y si hoy llevo la ropa fake, es porque soy la más real
Bitch, me creo Dapper Dan
Me doy un flow de paca, me veo original
Soy la marca más cara que tú no vas a poder capear

Juntas por la noche
Puestas pa'l derroche
Tu pelo azabache
La combi Versace
Juntas por la noche
Puestas pa'l derroche
Tu pelo azabache
La combi Versace
Paul Roman, Paul Roman, colale–
Paul Roman, mmm
Se me ve el culo en Versace
Fue-Fuera del bajo mundo, fuera
Cheque, che—
Fuera, fuera, fuera
Fuera, fuera, fuera
Cheque, che—
Se me ve el culo en Versace
Se me ve el culo en Versace
Cheque, che—"
42,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters,"I'm tryna get revenge
You'll be all out of love in the end

Spent ten hours on this flight, man
Told the pilot ain't no flight plans
Can't believe whatever I'm seein'
And they know whenever I land
Yeah, yeah, yeah, yeah

Fuck the club up, fuck the club up (Bitch)
Fuck the club up, fuck the club up (Bitch)
Fuck the club up, fuck the club up
Fuck the club up, fuck the club up (Yeah)

The party never ends
In a motel layin' with my sins, yeah
I'm tryna get revenge
You'll be all out of love in the end

Bicentennial man, put the city on slam
She get trippy off Xans, lost twenty-one grams
And she did it on cam, wasn't no video dance
Make my own rules, I really don't pick, I just choose
I don't set picks, I just shoot
Chopped and get screwed
I told her it's B.Y.O.B., that mean buy your own boobs
Put it on God, He the one that put me on top
Can't be put in a box, gotta move on the opps
Devil got the move on the drop
Niggas tryna move on the Scott
And move that deep, tryna run down, shit's steep
Gotta act a fool with the squad
Next city, no sleep, back to the 7-1-3

Spent ten hours on this flight, man
Told the pilot ain't no flight plans
Can't believe whatever I'm seein'
And they know whenever I land
Yeah, yeah, yeah, yeah

Fuck the club up, fuck the club up (Bitch)
Fuck the club up, fuck the club up (Bitch)
Fuck the club up, fuck the club up
Fuck the club up, fuck the club up (Yeah)

Time to make the club go up
Make the club go up
Make the club go up"
43,WTSGD,CLAY,none
44,VOY A LLeVARTE PA PR,Bad Bunny,
45,What It Is (Block Boy) (with Kodak Black),Doechii,
46,Jealousy,RUBII,
47,Fuck Me Pumps,Amy Winehouse,
48,Whatever You Like,T.I.,
49,Power,Joy Crookes,
50,Wild Jasmine,Joy Crookes,
51,Feet Don't Fail Me Now,Joy Crookes,
52,Kingdom,Joy Crookes,
53,Nasty,Tinashe,
54,Boss Bitch,Doja Cat,
55,Poison,Joy Crookes,
56,19th Floor,Joy Crookes,
57,Yah / Element - Medley,Joy Crookes,
58,No Hands,Joy Crookes,
59,Hallelujah,Pentatonix,
60,YYZ,Rush,
61,The Load-Out - Remastered,Jackson Browne,
44,VOY A LLeVARTE PA PR,Bad Bunny,"Acho, PR es otra cosa
Yo la conocí en Miami, en Brickell
Ella sabe que aquí hay ticket
Quiere que yo se la aplique
Que pa' casa la trafique

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar (Ey, ey)

Aprovecha, quе estoy soltero (Ay), single
Míramе mal si quiere' que te singue
Te vo'a llevar pa' PR to' el finde
Despué' de mí va' a borrar Tinder
Y estoy suelto, mami, estoy suelto
Mírame ahora, perreando un experto
Estoy suelto, mami, estoy suelto, ey, ey, ey
Hoy la calle está prendía', hookah, pastilla molía'
Yo no pierdo tiempo, yo las cambio como ROSALÍA
La que me mira a los ojo' por cinco segundo' ya yo sé que es mía
¿Dónde están las mala'? Que son bienvenía'
'Toy puesto pa'l lío, dime si tú lía'
Tus amiga' y to' el corillo 'tán bien rica'
Pero ese culo tuyo, wow, sobresalía
Salimo' de la disco y estaba de día
Obviamente salí con la que quería, ey
Que viva la putería
Dale pa'trá', pa'trá', tan-tan, chulería, ey
Dime si te va' a montar, pa' la isla tengo el portal
Bien borracho' los tre', baby, a las do' me las vo'a llevar
Oh, oh, me quiere besar, ja, yo que la puse mal
Tírate fotitos ahora porque ahorita te vo'a despeinar
Yeah-eh-eh-eh-eh

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar, yeah

Yeah, sí, sí
Esto es PR, mami
Aquí nací yo y el reggaetón, pa' que sepa'
Ey, ey, ey
Voy cazando y muero perreando
Voy cazando y muero perreando
Voy cazando y muero perreando
Que bailen toa' las gata', nos fuimo' algarete
'Tás escuchando al que más le mete
Dale, mami, suéltate el grillete
Ponte en cuatro, que te vo'a dar fuete
Ponte en cuatro, que te vo'a dar fue—"
45,What It Is (Block Boy) (with Kodak Black),Doechii,none
46,Jealousy,RUBII,"Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on–

S-s-said I scared off, 1, 2, 3, 4, 5 now
Said I don't like it when I'm on my shit, 'cause I'm just so much better than you
Pull up the fine print, love and all vibin'
'Til they see girl like better somehow
Doin' up my thing, good for the writin'
Who's gonna run when they hear my sound, now?
Who's gonna run when they hear my–
Who's gonna run when they hear my–
Don't want no guy to run off and cry, 'cause I played him some of my worst
Sounds like a lie, happened in real time
Hope he don't feel no worse or no hurt

Said I'm on my, I do like this
No, I didn't come to play
You could be on yours, but you keep on getting in my way
They say, ""Way way too good to me"", so that thеy never stay
I've been told diffеrences, but think that it's jealousy

I think that's jealousy, now
I think that is jealousy
I think that's jealousy, now
I think that is jealousy

T-tellin' me not your style
All ideas lame, wack, it's twisted
Sit a little, ah-ah, wait for a while
And it's like whole mindset is shifted
See you really runnin' up my style
Wrap it up nice, pass it on, it's gifted
I-I think it's vile
I think–, I think it's vile, now
'Cause they keep telling me, ""Enemies love you like friend to me""
Hate me, but they love my flow
All of the talkin', like why you so for it?
Your back to corner with nowhere to go
Some of my mistakes that I made on ways
If I share my yays, will you take my worst?
Love to the strays from back in the day
They come and they play in the game I wrote

Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my
Said I'm on my, I'm on my

S-s-said I'm on my, I do like this
No, I didn't come to play
You could be on yours, but you keep on getting in my way
They say, ""Way way too good to me"", so that they never stay
I've been told differences, but think that it's jealousy

I think that's jealousy, now
I think that is jealousy
I think that's jealousy, now
I think that is jealousy"
47,Fuck Me Pumps,Amy Winehouse,"Woo

When you walk in the bar
And you're dressed like a star
Rockin' your ""eff me"" pumps
And a man notice you with your Gucci bag crew
Can't tell who he's looking to
'Cause you all look the same, everyone knows your name
And that's your whole claim to fame
Never miss a night, 'cause your dream in life
Is to be a footballer’s wife

You don't like players
That's what you say
But you really wouldn't mind a millionaire
You don't like ballers
They don't do nothing for ya
But you'd love a rich man six-foot-two or taller

You're more than a fan lookin' for a man
But you end up with one-night stands
He could be your whole life if you got past one night
But that part never goes right
In the morning, you're vexed
He's on to the next
And you didn't even get no text
Don't be too upset if they call you a sket
'Cause like the news, every day, you get pressed

You don't like players
That's what you say
But you really wouldn't mind a millionaire
All them big ballers
Don't do nothing for ya
But you'd love a rich man six-foot-two or taller

You can't sit down right, 'cause your jeans are too tight
And you lucky it's ladies' night
With your big empty purse
Every week it gets worse
At least your breast cost more than hers
So you did Miami, 'cause you got there for free
But, somehow, you missed the plane
You did too much E
Met somebody and spent the night getting caned

Without girls like you, there'd be no fun
We'd go to the club and not see anyone
Without girls like you, there's no night life
All those men just go home to their wives
Don't be mad at me 'cause you're pushing thirty
And your old tricks no longer work
You should have known from the jump
That you always get dumped
So dust off your ""fuck me"" pumps"
